Slot No, Average Power (Watt),URL Path,Arrival Rate,Response Average,VM Number,VCPU
186,0,http://azureauto.cloudapp.net/,217.8,4179.283355,1,11
187,0,http://azureauto.cloudapp.net/,225.8666667,15068.80734,1,11
188,0,http://azureauto.cloudapp.net/,233.9333333,32011.98996,1,11
189,0,http://azureauto.cloudapp.net/,242,50751.376,1,11
190,0,http://azureauto.cloudapp.net/,1,83.22145329,1,10
191,0,http://azureauto.cloudapp.net/,1,86.97619048,1,10
192,0,http://azureauto.cloudapp.net/,10,81.3851257,1,10
193,0,http://azureauto.cloudapp.net/,45,87.75379752,1,10
194,0,http://azureauto.cloudapp.net/,80,95.26925609,1,10
195,0,http://azureauto.cloudapp.net/,105,104.8995217,1,10
196,0,http://azureauto.cloudapp.net/,115,109.8486426,1,10
197,0,http://azureauto.cloudapp.net/,125,113.0915232,1,10
198,0,http://azureauto.cloudapp.net/,135,120.9151779,1,10
199,0,http://azureauto.cloudapp.net/,145,131.7219017,1,10
200,0,http://azureauto.cloudapp.net/,155,136.8370881,1,10
201,0,http://azureauto.cloudapp.net/,165,149.560879,1,10
202,0,http://azureauto.cloudapp.net/,175,178.1585036,1,10
203,0,http://azureauto.cloudapp.net/,185,194.9292629,1,10
204,0,http://azureauto.cloudapp.net/,190.6666667,926.1298374,1,10
205,0,http://azureauto.cloudapp.net/,198,3891.873367,1,10
206,0,http://azureauto.cloudapp.net/,205.3333333,12719.16557,1,10
207,0,http://azureauto.cloudapp.net/,212.6666667,30884.87699,1,10
208,0,http://azureauto.cloudapp.net/,220,51983.1931,1,10
209,0,http://azureauto.cloudapp.net/,1,83.72168285,1,9
210,0,http://azureauto.cloudapp.net/,1,87.34516129,1,9
211,0,http://azureauto.cloudapp.net/,9,80.0652819,1,9
212,0,http://azureauto.cloudapp.net/,40.5,86.85923357,1,9
213,0,http://azureauto.cloudapp.net/,72,95.8124079,1,9
214,0,http://azureauto.cloudapp.net/,94.5,104.4676316,1,9
215,0,http://azureauto.cloudapp.net/,103.5,108.6626247,1,9
216,0,http://azureauto.cloudapp.net/,112.5,114.3071906,1,9
217,0,http://azureauto.cloudapp.net/,121.5,124.0959499,1,9
218,0,http://azureauto.cloudapp.net/,130.5,127.5605799,1,9
219,0,http://azureauto.cloudapp.net/,139.5,144.8744982,1,9
220,0,http://azureauto.cloudapp.net/,148.5,200.4130513,1,9
221,0,http://azureauto.cloudapp.net/,157.5,249.9872839,1,9
222,0,http://azureauto.cloudapp.net/,166.5,491.9184447,1,9
223,0,http://azureauto.cloudapp.net/,171.6,384.1490638,1,9
224,0,http://azureauto.cloudapp.net/,178.2,1239.70896,1,9
225,0,http://azureauto.cloudapp.net/,184.8,7873.013791,1,9
226,0,http://azureauto.cloudapp.net/,191.4,23034.35914,1,9
227,0,http://azureauto.cloudapp.net/,198,44902.4662,1,9
228,0,http://azureauto.cloudapp.net/,1,89.69642857,1,8
229,0,http://azureauto.cloudapp.net/,1,81.1627907,1,8
230,0,http://azureauto.cloudapp.net/,8,81.05877483,1,8
231,0,http://azureauto.cloudapp.net/,36,87.13195343,1,8
232,0,http://azureauto.cloudapp.net/,64,95.39635073,1,8
233,0,http://azureauto.cloudapp.net/,84,108.684724,1,8
234,0,http://azureauto.cloudapp.net/,92,115.818788,1,8
235,0,http://azureauto.cloudapp.net/,100,122.4118041,1,8
236,0,http://azureauto.cloudapp.net/,108,134.5341245,1,8
237,0,http://azureauto.cloudapp.net/,116,151.2626688,1,8
238,0,http://azureauto.cloudapp.net/,124,169.3429,1,8
239,0,http://azureauto.cloudapp.net/,132,206.4285139,1,8
240,0,http://azureauto.cloudapp.net/,140,230.5491645,1,8
241,0,http://azureauto.cloudapp.net/,148,381.642249,1,8
242,0,http://azureauto.cloudapp.net/,152.5333333,14035.51899,1,8
243,0,http://azureauto.cloudapp.net/,158.4,24503.34444,1,8
244,0,http://azureauto.cloudapp.net/,164.2666667,26103.15492,1,8
245,0,http://azureauto.cloudapp.net/,170.1333333,36515.88751,1,8
246,0,http://azureauto.cloudapp.net/,176,54562.60668,1,8
247,0,http://azureauto.cloudapp.net/,1,93.83561644,1,7
248,0,http://azureauto.cloudapp.net/,1,93.90268456,1,7
249,0,http://azureauto.cloudapp.net/,7,83.69493131,1,7
250,0,http://azureauto.cloudapp.net/,31.5,91.10191619,1,7
251,0,http://azureauto.cloudapp.net/,56,98.71586263,1,7
252,0,http://azureauto.cloudapp.net/,73.5,110.6199422,1,7
253,0,http://azureauto.cloudapp.net/,80.5,116.0258152,1,7
254,0,http://azureauto.cloudapp.net/,87.5,124.1730048,1,7
255,0,http://azureauto.cloudapp.net/,94.5,131.9745325,1,7
256,0,http://azureauto.cloudapp.net/,101.5,153.0089792,1,7
257,0,http://azureauto.cloudapp.net/,108.5,163.7409846,1,7
258,0,http://azureauto.cloudapp.net/,115.5,180.8829099,1,7
259,0,http://azureauto.cloudapp.net/,122.5,249.8195524,1,7
260,0,http://azureauto.cloudapp.net/,129.5,341.7216487,1,7
261,0,http://azureauto.cloudapp.net/,133.4666667,469.4637442,1,7
262,0,http://azureauto.cloudapp.net/,138.6,1449.227084,1,7
263,0,http://azureauto.cloudapp.net/,143.7333333,4691.397929,1,7
264,0,http://azureauto.cloudapp.net/,148.8666667,16302.38861,1,7
265,0,http://azureauto.cloudapp.net/,154,38080.9418,1,7
266,0,http://azureauto.cloudapp.net/,1,117.5970588,1,6
267,0,http://azureauto.cloudapp.net/,1,89.89864865,1,6
268,0,http://azureauto.cloudapp.net/,6,83.59615385,1,6
269,0,http://azureauto.cloudapp.net/,27,90.22275288,1,6
270,0,http://azureauto.cloudapp.net/,48,100.8547936,1,6
271,0,http://azureauto.cloudapp.net/,63,112.6670555,1,6
272,0,http://azureauto.cloudapp.net/,69,117.1781319,1,6
273,0,http://azureauto.cloudapp.net/,75,126.9249138,1,6
274,0,http://azureauto.cloudapp.net/,81,138.049557,1,6
275,0,http://azureauto.cloudapp.net/,87,148.4434266,1,6
276,0,http://azureauto.cloudapp.net/,93,176.1546739,1,6
277,0,http://azureauto.cloudapp.net/,99,191.0166544,1,6
278,0,http://azureauto.cloudapp.net/,105,229.3415531,1,6
279,0,http://azureauto.cloudapp.net/,111,371.5031409,1,6
280,0,http://azureauto.cloudapp.net/,114.4,415.0629473,1,6
281,0,http://azureauto.cloudapp.net/,118.8,1330.650746,1,6
282,0,http://azureauto.cloudapp.net/,123.2,4995.55419,1,6
283,0,http://azureauto.cloudapp.net/,127.6,16665.36988,1,6
284,0,http://azureauto.cloudapp.net/,132,34551.00562,1,6
285,0,http://azureauto.cloudapp.net/,1,90.36184211,1,5
286,0,http://azureauto.cloudapp.net/,1,85.39930556,1,5
287,0,http://azureauto.cloudapp.net/,5,84.08139535,1,5
288,0,http://azureauto.cloudapp.net/,22.5,89.4787186,1,5
289,0,http://azureauto.cloudapp.net/,40,98.93719341,1,5
290,0,http://azureauto.cloudapp.net/,52.5,108.2845642,1,5
291,0,http://azureauto.cloudapp.net/,57.5,117.87789,1,5
292,0,http://azureauto.cloudapp.net/,62.5,125.4302434,1,5
293,0,http://azureauto.cloudapp.net/,67.5,128.4293619,1,5
294,0,http://azureauto.cloudapp.net/,72.5,152.9103656,1,5
295,0,http://azureauto.cloudapp.net/,77.5,175.7554196,1,5
296,0,http://azureauto.cloudapp.net/,82.5,184.3021763,1,5
297,0,http://azureauto.cloudapp.net/,87.5,217.9488622,1,5
298,0,http://azureauto.cloudapp.net/,92.5,306.9803571,1,5
299,0,http://azureauto.cloudapp.net/,95.33333333,649.2931865,1,5
300,0,http://azureauto.cloudapp.net/,99,686.0985478,1,5
301,0,http://azureauto.cloudapp.net/,102.6666667,1883.771372,1,5
302,0,http://azureauto.cloudapp.net/,106.3333333,7421.081621,1,5
303,0,http://azureauto.cloudapp.net/,110,22391.78934,1,5
304,0,http://azureauto.cloudapp.net/,1,83.29166667,1,4
305,0,http://azureauto.cloudapp.net/,1,90.67361111,1,4
306,0,http://azureauto.cloudapp.net/,4,85.88107203,1,4
307,0,http://azureauto.cloudapp.net/,18,92.46614583,1,4
308,0,http://azureauto.cloudapp.net/,32,100.2080117,1,4
309,0,http://azureauto.cloudapp.net/,42,116.8173384,1,4
310,0,http://azureauto.cloudapp.net/,46,119.7052789,1,4
311,0,http://azureauto.cloudapp.net/,50,124.0706693,1,4
312,0,http://azureauto.cloudapp.net/,54,133.75094,1,4
313,0,http://azureauto.cloudapp.net/,58,146.279661,1,4
314,0,http://azureauto.cloudapp.net/,62,167.9484844,1,4
315,0,http://azureauto.cloudapp.net/,66,184.3415115,1,4
316,0,http://azureauto.cloudapp.net/,70,231.7000414,1,4
317,0,http://azureauto.cloudapp.net/,74,268.2564898,1,4
318,0,http://azureauto.cloudapp.net/,76.26666667,341.4316593,1,4
319,0,http://azureauto.cloudapp.net/,79.2,436.9391223,1,4
320,0,http://azureauto.cloudapp.net/,82.13333333,2614.289757,1,4
321,0,http://azureauto.cloudapp.net/,85.06666667,8494.303651,1,4
322,0,http://azureauto.cloudapp.net/,88,19551.1098,1,4
323,0,http://azureauto.cloudapp.net/,1,93.35692308,1,3
324,0,http://azureauto.cloudapp.net/,1,82.65346535,1,3
325,0,http://azureauto.cloudapp.net/,3,89.82850521,1,3
326,0,http://azureauto.cloudapp.net/,13.5,86.87629387,1,3
327,0,http://azureauto.cloudapp.net/,24,94.13338789,1,3
328,0,http://azureauto.cloudapp.net/,31.5,100.652752,1,3
329,0,http://azureauto.cloudapp.net/,34.5,102.5926829,1,3
330,0,http://azureauto.cloudapp.net/,37.5,104.2473203,1,3
331,0,http://azureauto.cloudapp.net/,40.5,109.0222276,1,3
332,0,http://azureauto.cloudapp.net/,43.5,112.402984,1,3
333,0,http://azureauto.cloudapp.net/,46.5,114.5391653,1,3
334,0,http://azureauto.cloudapp.net/,49.5,122.5779041,1,3
335,0,http://azureauto.cloudapp.net/,52.5,128.3678493,1,3
336,0,http://azureauto.cloudapp.net/,55.5,140.6314215,1,3
337,0,http://azureauto.cloudapp.net/,57.2,438.2974429,1,3
338,0,http://azureauto.cloudapp.net/,59.4,691.1854241,1,3
339,0,http://azureauto.cloudapp.net/,61.6,1034.398908,1,3
340,0,http://azureauto.cloudapp.net/,63.8,4535.235757,1,3
341,0,http://azureauto.cloudapp.net/,66,14707.81962,1,3
342,0,http://azureauto.cloudapp.net/,1,90.32323232,1,2
343,0,http://azureauto.cloudapp.net/,1,82.87108014,1,2
344,0,http://azureauto.cloudapp.net/,2,88.46678322,1,2
345,0,http://azureauto.cloudapp.net/,9,85.86189258,1,2
346,0,http://azureauto.cloudapp.net/,16,86.36312964,1,2
347,0,http://azureauto.cloudapp.net/,21,90.29767068,1,2
348,0,http://azureauto.cloudapp.net/,23,91.37597011,1,2
349,0,http://azureauto.cloudapp.net/,25,93.26974279,1,2
350,0,http://azureauto.cloudapp.net/,27,92.66658428,1,2
351,0,http://azureauto.cloudapp.net/,29,98.77502511,1,2
352,0,http://azureauto.cloudapp.net/,31,96.03746337,1,2
353,0,http://azureauto.cloudapp.net/,33,100.0226476,1,2
354,0,http://azureauto.cloudapp.net/,35,103.3676167,1,2
355,0,http://azureauto.cloudapp.net/,37,103.0277926,1,2
356,0,http://azureauto.cloudapp.net/,38.13333333,411.504991,1,2
357,0,http://azureauto.cloudapp.net/,39.6,573.2541112,1,2
358,0,http://azureauto.cloudapp.net/,41.06666667,915.1837369,1,2
359,0,http://azureauto.cloudapp.net/,42.53333333,3154.856784,1,2
360,0,http://azureauto.cloudapp.net/,44,13907.15743,1,2
361,0,http://azureauto.cloudapp.net/,1,85.29109589,1,1
362,0,http://azureauto.cloudapp.net/,1,90.98,1,1
363,0,http://azureauto.cloudapp.net/,1,99.03021148,1,1
364,0,http://azureauto.cloudapp.net/,4.5,83.95560572,1,1
365,0,http://azureauto.cloudapp.net/,8,84.16773676,1,1
366,0,http://azureauto.cloudapp.net/,10.5,83.74872935,1,1
367,0,http://azureauto.cloudapp.net/,11.5,85.35466977,1,1
368,0,http://azureauto.cloudapp.net/,12.5,86.77762876,1,1
369,0,http://azureauto.cloudapp.net/,13.5,88.21894484,1,1
370,0,http://azureauto.cloudapp.net/,14.5,86.44550193,1,1
371,0,http://azureauto.cloudapp.net/,15.5,89.68957397,1,1
372,0,http://azureauto.cloudapp.net/,16.5,88.28822706,1,1
373,0,http://azureauto.cloudapp.net/,17.5,88.68486116,1,1
374,0,http://azureauto.cloudapp.net/,18.5,91.55571557,1,1
375,0,http://azureauto.cloudapp.net/,19.06666667,634.8031523,1,1
376,0,http://azureauto.cloudapp.net/,19.8,638.6129676,1,1
377,0,http://azureauto.cloudapp.net/,20.53333333,625.7883657,1,1
378,0,http://azureauto.cloudapp.net/,21.26666667,1847.988854,1,1
379,0,http://azureauto.cloudapp.net/,22,3075.681825,1,1
